ax1,ay1,az1
9.76157,0.0982146,0.0958191
9.75678,0.134147,0.153311
9.79032,0.0814463,0.122169
9.7496,0.12696,0.134147
9.77116,0.107797,0.138938
9.77116,0.110192,0.0694689
9.72085,0.141333,0.122169
9.75678,0.0982146,0.105401
9.78074,0.0862372,0.0766553
9.76637,0.0982146,0.124565
9.76876,0.119774,0.0934237
9.77355,0.124565,0.131751
9.7472,0.146124,0.136542
9.78313,0.10061,0.12696
9.76637,0.143729,0.0886327
9.79032,0.122169,0.105401
9.77355,0.0862372,0.107797
9.71127,0.0838417,0.0886327
9.77116,0.0982146,0.055096
9.78793,0.155706,0.0958191
9.7496,0.0838417,0.129356
9.75678,0.110192,0.114983
9.75678,0.105401,0.122169
9.74481,0.103006,0.131751
9.75918,0.114983,0.0766553
9.74481,0.112587,0.114983
9.77116,0.112587,0.105401
9.73043,0.119774,0.131751
9.77595,0.131751,0.117378
9.76637,0.0790508,0.124565
9.75439,0.107797,0.0790508
9.7472,0.129356,0.0790508
9.75678,0.122169,0.107797
9.74481,0.0982146,0.143729
9.79032,0.10061,0.141333
9.74481,0.141333,0.12696
9.73762,0.0958191,0.0982146
9.8023,0.105401,0.0958191
9.77355,0.119774,0.0934237
9.76876,0.129356,0.122169
9.78553,0.107797,0.0886327
9.76876,0.114983,0.0934237
9.76637,0.0958191,0.110192
9.73762,0.112587,0.12696
9.7496,0.0862372,0.0886327
